,Artist
334,Archie Bell & the Drells
335,Lisa Lisa and Cult Jam
336,Cheap Trick
337,Kyu Sakamoto
338,The Marvelettes
339,Lesley Gore
340,Taylor Swift
341,Guy Mitchell
342,Rose Royce
343,Brandy
344,The Righteous Brothers
345,Frank Sinatra
346,Creed
347,Honey Cone
348,Michael Jackson
349,Carrie Underwood
350,Christopher Cross
351,Paul McCartney & Wings
352,Debby Boone
353,A Taste of Honey
354,Henry Mancini
355,Sweet Sensation
356,Shelley Fabares
357,Harry Chapin
358,Irene Cara
359,REO Speedwagon
360,Little Eva
361,Carly Simon
362,The Jackson 5
363,Dean Martin
364,Leona Lewis
365,Ernie K-Doe
366,Rick Astley
367,Exile
368,Baauer
369,Jan and Dean
370,Vangelis
371,Freddie and the Dreamers
372,Johnny Rivers
373,Mary J. Blige
374,Eddie Rabbitt
375,Miley Cyrus
376,Clay Aiken
377,Ne-Yo
378,Savage Garden
379,K-Ci & JoJo
380,Gregory Abbott
381,Alannah Myles
382,The Dixie Cups
383,Toto
384,Al Green
385,Lawrence Welk
386,Bill Withers
387,The Byrds
388,Meat Loaf
389,The Beatles
390,Manfred Mann
391,Andy Kim
392,Dexys Midnight Runners
393,Richard Marx
394,Will to Power
395,Mr. Mister
396,The Rascals
397,Petula Clark
398,Johnny Horton
399,Eminem
400,The Doors
401,Falco
402,Christina Aguilera
403,Zager and Evans
404,Billy Idol
405,Wilbert Harrison
406,Meco
407,Sir Mix-a-Lot
408,Kenny Rogers
409,Strawberry Alarm Clock
410,Blue Swede
411,Hugh Masekela
412,Robert John
413,Paul & Paula
414,Edwin Starr
415,SWV
416,Lorde
417,Omi
418,Ini Kamoze
419,Prince and the Revolution
420,Aaliyah
421,Wham!
422,Elton John
423,Kendrick Lamar
424,Billy Joel
425,The Young Rascals
426,Bay City Rollers
427,The Escape Club
428,Fleetwood Mac
429,Robert Palmer
430,Nancy Sinatra
431,Sisqó
432,Maxi Priest
433,USA for Africa
434,Shaun Cassidy
435,LMFAO
436,Beyoncé
437,Simple Minds
438,Jeannie C. Riley
439,The Four Seasons
440,"Hamilton, Joe Frank & Reynolds"
441,Anne Murray
442,John Parr
443,The Edgar Winter Group
444,Rick Springfield
445,Def Leppard
446,Ashanti
447,Drake
448,Aretha Franklin
449,Berlin
450,Sean Paul
451,The Hues Corporation
452,Owl City
453,Yes
454,Pink
455,Donna Summer
456,Player
457,Debbie Gibson
458,P.M. Dawn
459,Kim Wilde
460,Dion
461,Maureen McGovern
462,Vicki Lawrence
463,Meghan Trainor
464,Duran Duran
465,Brian Hyland
466,OutKast
467,Bert Kaempfert
468,Sean Kingston
469,Paul Mauriat
470,Queen
471,The New Vaudeville Band
472,The Drifters
473,Stories
474,Ricky Martin
475,Gloria Gaynor
476,Kelly Clarkson
477,Nelly Furtado
478,The Monkees
479,Gloria Estefan
480,Survivor
481,Cyndi Lauper
482,Pat Boone
483,Roberta Flack
484,Simply Red
485,Taylor Dayne
486,Tommy Page
487,The Staple Singers
488,Eddie Kendricks
489,Bread
490,Gene Chandler
491,Toni Braxton
492,Dolly Parton
493,John Denver
494,Exposé
495,Akon
496,Ringo Starr
497,Carl Douglas
498,Whitney Houston
499,Neil Sedaka
500,Rupert Holmes
501,Katy Perry
502,Van Halen
503,Otis Redding
504,Styx
505,David Rose
506,Silk
507,Peter Gabriel
508,Barbra Streisand
509,Cutting Crew
510,Mariah Carey
511,Britney Spears
512,XXXTentacion
513,Mark Dinning
514,Andy Gibb
515,Enrique Iglesias
516,The Partridge Family
517,The Buckinghams
518,Maroon 5
519,Johnnie Taylor
520,Vanessa Williams
521,Daniel Powter
522,The Supremes
523,Steve Miller Band
524,Vanilla Ice
525,Lonestar
526,Fergie
527,Barry Manilow
528,Color Me Badd
